劳动关系,工作名称,报名方式,报名时间,招聘地区,招聘计划,页面网址,笔试时间,面试时间,单位名称,报名邮箱,报名网址,单位网址,视频课程
国有企业合同制,2023年贵州黄平众聿项目管理有限公司招聘方案,电子邮件,6月20日至6月21日,黔东南,4人,/show-3886-46293.html,7月1日,7月7日,贵州黄平众聿项目管理有限公司 ,mailto:hpwywl＠163.com,,http://search.gzu521.net/cse/search?q=%E8%B4%B5%E5%B7%9E%E9%BB%84%E5%B9%B3%E4%BC%97%E8%81%BF%E9%A1%B9%E7%9B%AE%E7%AE%A1%E7%90%86%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
国有企业合同制,2023年黔西南州部分重点企业赴贵州大学专场招聘90人公告,现场报名,6月26日,黔西南,90人,/show-3882-46294.html,,,黔西南州 ,,,http://search.gzu521.net/cse/search?q=%E9%BB%94%E8%A5%BF%E5%8D%97%E5%B7%9E&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
国有企业合同制,贵州电商云黔南公司2023年招聘简章,电子邮件,6月7日至8月10日,黔南,6人,/show-3890-45613.html,,,贵州电子商务云运营有限责任公司 ,mailto:1273841438@qq.com,,http://search.gzu521.net/cse/search?q=%E8%B4%B5%E5%B7%9E%E7%94%B5%E5%AD%90%E5%95%86%E5%8A%A1%E4%BA%91%E8%BF%90%E8%90%A5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
政府机关临时聘用,余庆县关于2023年招聘城镇公益性岗位的公告（余庆县子营街道办事处）,现场报名,6月16日至6月19日,遵义,5人,/show-3862-28094.html,,,余庆县子营街道办事处 ,,,http://search.gzu521.net/cse/search?q=%E4%BD%99%E5%BA%86%E5%8E%BF%E5%AD%90%E8%90%A5%E8%A1%97%E9%81%93%E5%8A%9E%E4%BA%8B%E5%A4%84&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
其它合同制,贵州医科大学附属乌当医院2023年招聘合同制员工公告,电子邮件,6月15日起,贵阳,16人,/show-3857-12302.html,,,贵州医科大学附属乌当医院 ,mailto:gywdrsk@163.com,,http://search.gzu521.net/cse/search?q=%E8%B4%B5%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E4%B9%8C%E5%BD%93%E5%8C%BB%E9%99%A2&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
民营企业合同制,贵阳市白云兴农中学2023年招聘简章,电子邮件,6月11日至6月28日,贵阳,12人,/show-3857-32905.html,,,贵阳市白云兴农中学 ,mailto:byxnzxhr@163.com,,http://search.gzu521.net/cse/search?q=%E8%B4%B5%E9%98%B3%E5%B8%82%E7%99%BD%E4%BA%91%E5%85%B4%E5%86%9C%E4%B8%AD%E5%AD%A6&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
政府机关临时聘用,瓮安县综合行政执法局2023年公开招聘公益性岗位人员实施方案,现场报名,6月19日至6月21日,黔南,8人,/show-3890-46303.html,,,瓮安县综合行政执法局 ,,,http://search.gzu521.net/cse/search?q=%E7%93%AE%E5%AE%89%E5%8E%BF%E7%BB%BC%E5%90%88%E8%A1%8C%E6%94%BF%E6%89%A7%E6%B3%95%E5%B1%80&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
政府机关临时聘用,余庆县关于2023年招聘城镇公益性岗位的公告（余庆县龙家镇人民政府）,现场报名,6月16日至6月19日,遵义,6人,/show-3862-14949.html,,,余庆县龙家镇人民政府 ,,,http://search.gzu521.net/cse/search?q=%E4%BD%99%E5%BA%86%E5%8E%BF%E9%BE%99%E5%AE%B6%E9%95%87%E4%BA%BA%E6%B0%91%E6%94%BF%E5%BA%9C&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
事业单位编内正式,余庆县房地产服务中心2023年公开选调专业技术人员工作简章,现场报名,6月19日至6月21日,遵义,1人,/show-3862-46305.html,,,余庆县房地产服务中心 ,,,http://search.gzu521.net/cse/search?q=%E4%BD%99%E5%BA%86%E5%8E%BF%E6%88%BF%E5%9C%B0%E4%BA%A7%E6%9C%8D%E5%8A%A1%E4%B8%AD%E5%BF%83&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
国有企业合同制,平塘县盛源矿山救援有限公司2023年招聘工作人员简章,电子邮件,6月14日至6月17日,黔南,15人,/show-3890-46295.html,,,平塘县盛源矿山救援有限公司 ,mailto:2505384598@qq.com,,http://search.gzu521.net/cse/search?q=%E5%B9%B3%E5%A1%98%E5%8E%BF%E7%9B%9B%E6%BA%90%E7%9F%BF%E5%B1%B1%E6%95%91%E6%8F%B4%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&s=309554638597838543&nsid=0,https://mp.weixin.qq.com/mp/homepage?__biz=MzU2MTgyNTUwMg==&hid=1&sn=f7e68e5f7b0e2ae28b59aaf0d5b55c92
